Code,State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
NV,Nevada,,1.5760869565,1.1005747126,0.0903614458,,,,,,,6.3,4.7917808219,4.1972222222,4.8898550725,4.5202312139,4.2875816993,5.2564102564
AZ,Arizona,14.1397996357,12.5689497717,12.8232876712,10.9808219178,9.3884335155,11.2135159817,10.4748401826,9.1579908676,7.4578779599,7.2860730594,6.1629223744,5.7242009132,6.201754386,5.6949771689,6.8899543379,6.1894977169,7.543956044
WI,Wisconsin,,,,,,,5.3793103448,3.7741935484,,,,,,,,,
GA,Georgia,,,,,,,,,,,6.7934782609,5.4297520661,5.476584022,4.8097982709,5.106741573,5.1300578035,5.253968254
KS,Kansas,11.385701275,6.2438356164,5.7771689498,4.7063953488,6.3306010929,6.7424657534,6.5027932961,6.8575342466,6.3342939481,5.3157894737,6.7076023392,6.8685714286,7.7302052786,6.5649350649,4.1818181818,4.6107784431,4.0454545455
CT,Connecticut,,,,,,,6.7965116279,4.5606884058,5.0311355311,4.8365561694,4.3351903435,3.4613095238,3.1252276867,2.9328767123,2.9557077626,3.1493150685,
IN,Indiana,12.125748503,5.8426966292,6.609375,6.9101123596,8.3496503497,6.7663043478,8.6666666667,6.3863636364,6.0652173913,3.581920904,2.9523809524,1.2554347826,5.908496732,4.0894428152,3.5967741935,4.2259036145,3.9072164948
ME,Maine,,,,,,,2.1344827586,2.101369863,2.4,3.0479452055,3.5821917808,3.2726027397,3.9590163934,2.5054945055,2.635734072,3.3608815427,4.1398601399
MA,Massachusetts,,6.3961538462,6.649068323,9.501369863,4.0920634921,4.8538681948,7.0555555556,5.7596685083,3,4.6786703601,4.4005524862,4.5082417582,4.2284122563,4.1949152542,4.1304347826,4.1083591331,4.010989011
MT,Montana,,,,,,,,,,,,,,,,,
MD,Maryland,,,,,,,5.9447852761,5.598630137,6.2686781609,7.2507836991,6.2579710145,5.2204472843,3.9447513812,3.402739726,2.9351598174,3.2132420091,3.7637362637
AR,Arkansas,,,,,,,,8.3901098901,6.4590163934,6.2465753425,6.5328767123,6.1780821918,6.4576502732,5.4287671233,4.7780821918,4.25,4.6373626374
AL,Alabama,,,,,,,,,,,,,,4.1290322581,3.7152317881,3.9333333333,3.9060402685
VA,Virginia,9.9421675774,,,,,,6.7292237443,6.1998381877,5.0763888889,4.0375548246,1.9674418605,4.1108527132,3.940821256,4.1648401826,3.6839677047,4.1406392694,4.45
NE,Nebraska,,,,,,,,,,,,,,,,,
KY,Kentucky,3.4969173442,2.8180894309,2.5745257453,2.6290322581,,,,,,,,,,5.7317073171,3.9877300613,4.2279792746,
NY,New York,8.2163023679,8.2833333333,7.496347032,8.499086758,6.8738615665,6.2821917808,5.2682648402,5.7199543379,4.9214936248,3.621826484,4.9511872146,4.1321917808,5.2049180328,4.6369863014,4.3452054795,4.3,4.3181818182
CO,Colorado,11.5589041096,11.9252336449,9.5257352941,10.2327868852,10.612244898,10.0154061625,9.8406593407,9.4444444444,7.1588235294,6.515625,6.75,5.7707006369,6.0714936248,5.1253881279,5.5584474886,6.5155251142,7.8534798535
VT,Vermont,,,,,,,,,,,,,,,,,
SD,South Dakota,,,,,,,,,,,,2.5661971831,2.6593406593,2.0068493151,2.476056338,2.6204620462,
MI,Michigan,6.7888888889,8.1360544218,6.7010869565,7.0869565217,6.5409836066,5.9689265537,5.3695652174,3,,,,,,,,,
MO,Missouri,8.4449541284,8.7624434389,9.1930232558,9.2348837209,8.4069767442,7.1813953488,6.779342723,6.8246445498,6.223255814,,,,,3.8546511628,3.7409470752,4.071942446,4.7551020408
NC,North Carolina,10.3411949686,8.1728971963,7.0325581395,7.9496124031,7.0565891473,7.9255813953,6.537037037,6.3643835616,5.2403846154,4.9728571429,5.4367977528,5.3384831461,4.3786407767,4.5056818182,4.1214611872,4.1068493151,3.656462585
RI,Rhode Island,,,,,,,,,,,,2.6060606061,3,3.1723163842,3.2458100559,3.3722222222,3.2066115702
ID,Idaho,,,,,,,,,,2.1891891892,2.891966759,4.8260869565,,,,,
DE,Delaware,,,,,,,,,,,,3.6706349206,3.9270386266,3.2480620155,3.81,4.2792792793,4.4642857143
DC,District of Columbia,,,,,,,,,,,,,,,,,
NH,New Hampshire,,,4.9076086957,5.3505747126,4.0815217391,6.8855721393,5.6457142857,6.3043478261,6.7637362637,5.8127340824,6.5074626866,,,,2.3333333333,2.2039106145,2.5254237288
MN,Minnesota,,,,,,,,,,,,3.149825784,2.3773584906,,3.3834951456,3.9215116279,
ND,North Dakota,,,,,,,,,2.1778425656,2.0637119114,2.1369863014,1.9796511628,2.1071428571,1.848,1.9285714286,2.0820668693,2.1538461538
OK,Oklahoma,1.3036649215,0.8967452301,1.3562091503,0.9479606188,0.4982142857,0.5482758621,2.5239043825,4.4637681159,2.89453125,3.6581469649,3.6785714286,3.5931506849,2.8633879781,2.9100456621,2.5743801653,4.0096418733,5.0684931507
IA,Iowa,,,,,,,3.5161290323,3.688372093,3.6325581395,3.3906976744,3.6401869159,2.7947976879,3.0381355932,2.7564102564,2.8595041322,2.9287671233,2.6598360656
TN,Tennessee,,,11,11,,,,,2.5568181818,1.8892405063,1.9747292419,,,,,1.9437229437,2.0375
FL,Florida,10.3426966292,9.0113636364,7.2809917355,6.7182320442,7.2387640449,7.675900277,5.7479452055,3.9739726027,3.3142076503,4.7356321839,5.3342618384,5.7671232877,5.2103825137,4.0591549296,5.9888888889,6.4672364672,7.4065934066
LA,Louisiana,11.6338797814,12.7,10.9420289855,9.9527777778,8.2657534247,6.7534626039,6.135989011,5.8338028169,4.6778711485,3.324099723,3.9716713881,3.3719008264,3.3605633803,3.0222222222,3.9063444109,3.2451790634,3.298245614
NM,New Mexico,,,,,,,,,,,,3.5282485876,3.4066852368,3.3687150838,3.4655647383,3.6335227273,
WY,Wyoming,,,,,,,,2.2493074792,1.308681672,,,1.4331476323,2.6297814208,0.8240223464,0.485915493,0.8292011019,1.1555555556
PA,Pennsylvania,8.2453876591,8.2703905455,7.1695103889,6.6657690295,7.3614999036,5.0272766323,5.7389331395,4.8393195387,4.0238343694,4.8597847358,4.8055772994,4.0383942161,3.5324572816,2.7857055882,2.9948401826,2.7544292237,1.7307692308
SC,South Carolina,,,,3.2636363636,,,1.8477011494,1.7375415282,1.600619195,0.8166089965,1.1120689655,,,,,,2.4827586207
UT,Utah,,,,,,,,,,,,5.5706371191,5.7525252525,5.037202381,5.372611465,5.8656126482,8.3333333333
WV,West Virginia,,,,,,,,,,,,,,,,,
WA,Washington,,,,,,,,,,,,,,2.4864864865,2.5238095238,2.6666666667,4.3333333333
MS,Mississippi,,,,,,,,,,,,,,,,,
OR,Oregon,,,,,,,,6.3333333333,6.1036585366,5.8155619597,5.3835616438,5.8105590062,5.1265432099,5.036036036,3.9011976048,4.7616438356,
IL,Illinois,11.1677777778,9.9723756906,9.4699074074,8.5837912088,9.0945205479,8.0366197183,6.8704225352,5.4766183575,4.7649817851,4.6211893584,5.6335282651,5.2759103641,4.5765258216,4.4957865169,4.8228021978,4.4972222222,4.5593220339
NJ,New Jersey,10.0055865922,10.0578034682,9.2547945205,9.2771317829,8.1432664756,7.2817337461,6.1169916435,4.8651685393,3.7052238806,,,6.2270114943,4.7791666667,4.2630136986,4.3739726027,4.5,
CA,California,11.2525085457,10.6551803778,10.3462775988,9.7226690223,8.5968264137,7.5922680167,7.3820527937,6.7570450755,6.2971540266,6.4432595439,5.5086859978,5.7584323335,5.2896236673,5.676730978,5.3766562494,5.3124671147,5.410709676
OH,Ohio,,,,,,,,,,3.762,4.1857923497,4.4356164384,4.1680751174,3.5351598174,3.7570776256,4.1452054795,4.1404958678
TX,Texas,8.3713570128,7.6872146119,7.0109589041,8.1091324201,6.3226320583,5.802283105,5.133652968,4.307716895,3.8527517564,3.3706881931,3.707801696,3.3669667319,3.2354052823,2.9886116547,3.0634605349,3.3998033017,3.9668044077
